age,treatment,event,event_type
119.625,Female/20x,1,1
164.13055555555556,Female/20x,1,1
164.13055555555556,Female/20x,1,1
741.5074999999999,Female/20x,1,1
789.9766666666667,Female/20x,1,1
1077.7172222222223,Female/20x,1,1
1125.473611111111,Female/20x,1,1
1125.473611111111,Female/20x,1,1
1246.2202777777777,Female/20x,1,1
1246.2202777777777,Female/20x,1,1
1246.2202777777777,Female/20x,1,1
1340.1783333333333,Female/20x,1,1
1340.1783333333333,Female/20x,1,1
1414.7419444444445,Female/20x,1,1
1414.7419444444445,Female/20x,1,1
1461.355,Female/20x,1,1
1461.355,Female/20x,1,1
1461.355,Female/20x,1,1
1461.355,Female/20x,1,1
1461.355,Female/20x,1,1
1461.355,Female/20x,1,1
1461.355,Female/20x,1,1
1511.2244444444443,Female/20x,1,1
1511.2244444444443,Female/20x,1,1
1585.1091666666666,Female/20x,1,1
1585.1091666666666,Female/20x,1,1
1585.1091666666666,Female/20x,1,1
1585.1091666666666,Female/20x,1,1
1585.1091666666666,Female/20x,1,1
1628.9775,Female/20x,1,1
1628.9775,Female/20x,1,1
1628.9775,Female/20x,1,1
1628.9775,Female/20x,1,1
1628.9775,Female/20x,1,1
1628.9775,Female/20x,1,1
1628.9775,Female/20x,1,1
1676.2088888888889,Female/20x,1,1
1676.2088888888889,Female/20x,1,1
1676.2088888888889,Female/20x,1,1
1676.2088888888889,Female/20x,1,1
1676.2088888888889,Female/20x,1,1
1676.2088888888889,Female/20x,1,1
1752.3697222222222,Female/20x,1,1
1752.3697222222222,Female/20x,1,1
1752.3697222222222,Female/20x,1,1
1752.3697222222222,Female/20x,1,1
1752.3697222222222,Female/20x,1,1
1752.3697222222222,Female/20x,1,1
1752.3697222222222,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1849.4305555555554,Female/20x,1,1
1965.7316666666666,Female/20x,1,1
1965.7316666666666,Female/20x,1,1
1965.7316666666666,Female/20x,1,1
1965.7316666666666,Female/20x,1,1
2012.8527777777776,Female/20x,1,1
2012.8527777777776,Female/20x,1,1
2012.8527777777776,Female/20x,1,1
2089.0930555555556,Female/20x,1,1
2136.1377777777775,Female/20x,1,1
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
2136.1377777777775,Female/20x,1,0
406.5283333333333,Female/40x,1,1
621.3266666666666,Female/40x,1,1
1077.7172222222223,Female/40x,1,1
1077.7172222222223,Female/40x,1,1
1172.7363888888888,Female/40x,1,1
1246.2202777777777,Female/40x,1,1
1246.2202777777777,Female/40x,1,1
1293.4675,Female/40x,1,1
1293.4675,Female/40x,1,1
1293.4675,Female/40x,1,1
1340.1783333333333,Female/40x,1,1
1340.1783333333333,Female/40x,1,1
1340.1783333333333,Female/40x,1,1
1340.1783333333333,Female/40x,1,1
1340.1783333333333,Female/40x,1,1
1414.7419444444445,Female/40x,1,1
1414.7419444444445,Female/40x,1,1
