group1,group2,observed_1,expected_1,chi2,p_value,df,p_bonferroni,significant_0.05
Female/20x,Female/40x,859.0,921.3073567269095,8.2407,0.004096236515765295,1,0.024577419094591768,True
Female/20x,Male/20x,859.0,1231.0940262034576,498.0498,0.0,1,0.0,True
Female/20x,Male/40x,859.0,1477.8242935721712,752.5617,0.0,1,0.0,True
Female/40x,Male/20x,1815.0,2230.979244600093,554.1984,0.0,1,0.0,True
Female/40x,Male/40x,1815.0,2600.680573789648,1025.9147,0.0,1,0.0,True
Male/20x,Male/40x,878.0,989.5495921287151,24.441,7.662226514382198e-07,1,4.597335908629319e-06,True
