group,n,n_deaths,n_censored,mean_rmst,median,t_max
Female/20x,900,859,41,1825.14,1923.48,2136.14
Female/40x,1900,1815,85,1785.52,1849.43,2136.14
Male/20x,900,878,22,1529.74,1628.98,2136.14
Male/40x,1900,1850,50,1431.42,1585.11,2136.14
