treatment,S=90%,S=75%,S=50%,S=25%,S=10%
Female/20x,1511.2244444444443,1796.2819444444444,1923.478611111111,2012.8527777777776,2136.1377777777775
Female/40x,1414.7419444444445,1752.3697222222222,1849.4305555555554,1965.7316666666666,2089.0930555555556
Male/20x,1172.7363888888888,1414.7419444444445,1628.9775,1796.2819444444444,1849.4305555555554
Male/40x,789.9766666666667,1293.4675,1585.1091666666666,1752.3697222222222,1849.4305555555554
