treatment,time,n_at_risk,n_deaths,n_censored,qx,px,lx,hx,km_lx,se_km,km_ci_lo,km_ci_hi,na_H,na_se,na_ci_lo,na_ci_hi
Female/20x,119.625,900,0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Female/20x,237.58055555555555,899,2,0,0.002224694104560623,0.9977753058954394,0.9977753058954394,2.3542278620133956e-05,0.9977753058954394,0.0015713454840896792,0.9946954687466236,1.0,0.002224694104560623,0.0015730962874005506,0.0,0.0053079628278657025
Female/20x,332.1836111111111,897,1,0,0.0011148272017837235,0.9988851727982163,0.9966629588431591,1.5003741151598354e-05,0.9966629588431591,0.001923424282693568,0.9928930472490798,1.0,0.0033395213063443464,0.0019280745886169246,0.0,0.007118547500033519
Female/20x,406.5283333333333,896,1,0,0.0011160714285714285,0.9988839285714286,0.9955506117908789,1.1899562221055665e-05,0.9955506117908789,0.0022197393231209203,0.9911999227175619,0.9999013008641959,0.004455592734915775,0.002227798701172032,8.91072806185932e-05,0.008822078189212958
Female/20x,500.37166666666667,895,1,0,0.0011173184357541898,0.9988826815642458,0.9944382647385985,1.531242293810483e-05,0.9944382647385985,0.0024803571727537933,0.9895767646800011,0.999299764797196,0.005572911170669965,0.002492285605587767,0.0006880313837179424,0.010457790957621987
Female/20x,573.3805555555556,894,2,0,0.0022371364653243847,0.9977628635346756,0.9922135706340379,4.671164366479377e-05,0.9922135706340379,0.002931513574841225,0.9864678040273491,0.9979593372407267,0.00781004763599435,0.0029519277298169114,0.002024269285553204,0.013595825986435495
Female/20x,621.3266666666666,892,2,0,0.002242152466367713,0.9977578475336323,0.9899888765294773,4.556418427295222e-05,0.9899888765294773,0.0033202953748720657,0.983481097594728,0.9964966554642266,0.010052200102362062,0.003350746359138727,0.003484737238450158,0.016619662966273967
Female/20x,670.5905555555555,890,0,1,0.0,1.0,0.9899888765294773,0.0,0.9899888765294773,0.0033202953748720657,0.983481097594728,0.9964966554642266,0.010052200102362062,0.003350746359138727,0.003484737238450158,0.016619662966273967
Female/20x,789.9766666666667,889,1,0,0.0011248593925759281,0.9988751406074241,0.9888752782431675,6.740630298495271e-06,0.9888752782431675,0.003498325287417885,0.9820185606798284,0.9957319958065065,0.01117705949493799,0.0035345169141408448,0.004249406343221934,0.018104712646654045
Female/20x,956.9480555555555,888,1,0,0.0011261261261261261,0.9988738738738738,0.9877616799568575,9.329869489703747e-06,0.9877616799568575,0.0036673473078480305,0.9805736792334754,0.9949496806802396,0.012303185621064116,0.003709578125379159,0.005032412495320965,0.019573958746807268
Female/20x,1077.7172222222223,887,3,0,0.0033821871476888386,0.9966178128523112,0.9844208850979279,7.094163755297969e-05,0.9844208850979279,0.004131141945439736,0.9763238468848661,0.9925179233109898,0.015685372768752953,0.004192139450084576,0.007468779446587186,0.02390196609091872
Female/20x,1125.473611111111,884,7,0,0.007918552036199095,0.9920814479638009,0.9766256970937588,0.00016820908052290855,0.9766256970937588,0.005040743194453359,0.9667458404326302,0.9865055537548874,0.023603924804952048,0.005150890332646812,0.013508179752964297,0.0336996698569398
Female/20x,1172.7363888888888,877,3,0,0.0034207525655644243,0.9965792474344356,0.9732849022348292,4.6630811401031284e-05,0.9732849022348292,0.005379881972449272,0.9627403335688286,0.9838294709008298,0.027024677370516472,0.005516537614956165,0.01621226364520239,0.037837091095830555
