time,event,chamber,treatment,Sex,Density
119.625,0,181,Female/20x,Female,20x
237.58055555555555,1,102,Female/20x,Female,20x
237.58055555555555,1,127,Female/20x,Female,20x
332.1836111111111,1,6,Female/20x,Female,20x
406.5283333333333,1,147,Female/20x,Female,20x
500.37166666666667,1,6,Female/20x,Female,20x
573.3805555555556,1,17,Female/20x,Female,20x
573.3805555555556,1,141,Female/20x,Female,20x
621.3266666666666,1,19,Female/20x,Female,20x
621.3266666666666,1,104,Female/20x,Female,20x
670.5905555555555,0,189,Female/20x,Female,20x
789.9766666666667,1,68,Female/20x,Female,20x
956.9480555555555,1,49,Female/20x,Female,20x
1077.7172222222223,1,82,Female/20x,Female,20x
1077.7172222222223,1,82,Female/20x,Female,20x
1077.7172222222223,1,189,Female/20x,Female,20x
1125.473611111111,1,2,Female/20x,Female,20x
1125.473611111111,1,37,Female/20x,Female,20x
1125.473611111111,1,76,Female/20x,Female,20x
1125.473611111111,1,86,Female/20x,Female,20x
1125.473611111111,1,104,Female/20x,Female,20x
1125.473611111111,1,114,Female/20x,Female,20x
1125.473611111111,1,140,Female/20x,Female,20x
1172.7363888888888,1,60,Female/20x,Female,20x
1172.7363888888888,1,105,Female/20x,Female,20x
1172.7363888888888,1,114,Female/20x,Female,20x
1246.2202777777777,1,35,Female/20x,Female,20x
1246.2202777777777,1,60,Female/20x,Female,20x
1246.2202777777777,1,81,Female/20x,Female,20x
1246.2202777777777,1,127,Female/20x,Female,20x
1246.2202777777777,1,179,Female/20x,Female,20x
1246.2202777777777,1,185,Female/20x,Female,20x
1293.4675,1,2,Female/20x,Female,20x
1293.4675,1,49,Female/20x,Female,20x
1293.4675,1,127,Female/20x,Female,20x
1293.4675,1,174,Female/20x,Female,20x
1340.1783333333333,1,23,Female/20x,Female,20x
1340.1783333333333,1,50,Female/20x,Female,20x
1340.1783333333333,1,81,Female/20x,Female,20x
1340.1783333333333,1,86,Female/20x,Female,20x
1340.1783333333333,1,195,Female/20x,Female,20x
1340.1783333333333,1,195,Female/20x,Female,20x
1414.7419444444445,1,2,Female/20x,Female,20x
1414.7419444444445,1,19,Female/20x,Female,20x
1414.7419444444445,1,26,Female/20x,Female,20x
1414.7419444444445,1,40,Female/20x,Female,20x
1414.7419444444445,1,53,Female/20x,Female,20x
1414.7419444444445,1,53,Female/20x,Female,20x
1414.7419444444445,1,53,Female/20x,Female,20x
1414.7419444444445,1,68,Female/20x,Female,20x
1414.7419444444445,1,76,Female/20x,Female,20x
1414.7419444444445,1,76,Female/20x,Female,20x
