treatment,rmst,restriction_time
Female/20x,1825.1362673099538,2136.1377777777775
Female/40x,1785.5158696863089,2136.1377777777775
Male/20x,1529.7448206446925,2136.1377777777775
Male/40x,1431.4230386088425,2136.1377777777775
